iter	Passed	Remaining
0	131	131506
1	135	67628
2	139	46353
3	143	35730
4	147	29355
5	151	25089
6	156	22132
7	160	19909
8	164	18116
9	168	16669
10	170	15367
11	173	14284
12	175	13358
13	178	12553
14	180	11876
15	183	11272
16	185	10735
17	188	10270
18	190	9841
19	192	9455
20	195	9111
21	197	8794
22	200	8505
23	201	8200
24	203	7918
25	204	7657
26	205	7414
27	207	7189
28	208	6979
29	209	6783
30	211	6600
31	212	6427
32	213	6267
33	215	6116
34	216	5973
35	218	5838
36	219	5709
37	220	5589
38	222	5474
39	223	5364
40	224	5261
41	226	5162
42	227	5067
43	229	4978
44	230	4892
45	231	4809
46	233	4730
47	234	4653
48	236	4580
49	237	4510
50	238	4442
51	240	4376
52	241	4313
53	243	4263
54	244	4206
55	246	4151
56	247	4097
57	249	4044
58	250	3995
59	251	3945
60	253	3897
61	254	3851
62	255	3806
63	257	3763
64	258	3721
65	260	3684
66	261	3645
67	262	3598
68	263	3560
69	265	3524
70	266	3488
71	267	3453
72	269	3419
73	270	3386
74	272	3354
75	273	3323
76	274	3292
77	276	3262
78	277	3234
79	278	3206
80	280	3178
81	281	3151
82	282	3125
83	284	3099
84	285	3069
85	286	3045
86	287	3017
87	288	2993
88	290	2970
89	291	2948
90	293	2926
91	294	2905
92	295	2884
93	297	2863
94	298	2842
95	299	2822
96	301	2803
97	302	2783
98	303	2764
99	305	2748
100	309	2758
101	310	2737
102	312	2724
103	314	2711
104	316	2699
105	318	2683
106	319	2668
107	321	2652
108	322	2636
109	323	2620
110	325	2604
111	326	2589
112	327	2574
113	329	2559
114	330	2544
115	331	2528
116	333	2515
117	334	2501
118	335	2485
119	337	2471
120	338	2458
121	339	2445
122	340	2428
123	341	2415
124	343	2402
125	344	2389
126	345	2377
127	346	2363
128	348	2352
129	349	2341
130	351	2331
131	352	2320
132	354	2310
133	355	2299
134	357	2289
135	358	2279
136	360	2269
137	361	2257
138	362	2247
139	364	2236
140	365	2226
141	366	2216
142	368	2206
143	369	2196
144	370	2187
145	372	2177
146	373	2167
147	375	2159
148	376	2150
149	377	2141
150	379	2132
151	380	2123
152	381	2114
153	383	2105
154	384	2096
155	385	2088
156	387	2079
157	388	2072
158	390	2064
159	391	2056
160	392	2047
161	394	2039
162	395	2033
163	397	2028
164	399	2020
165	400	2013
166	402	2006
167	403	1998
168	404	1991
169	406	1983
170	408	1979
171	409	1972
172	411	1965
173	412	1959
174	414	1952
175	415	1945
176	416	1938
177	418	1932
178	419	1926
179	421	1919
180	422	1910
181	423	1904
182	425	1898
183	426	1892
184	428	1885
185	429	1879
186	430	1872
187	432	1866
188	433	1860
189	434	1854
190	436	1848
191	438	1844
192	440	1841
193	441	1835
194	443	1829
195	444	1823
196	445	1817
197	447	1812
198	448	1806
199	450	1800
200	452	1797
201	453	1792
202	455	1787
203	456	1781
204	457	1775
205	459	1770
206	460	1765
207	462	1759
208	463	1754
209	464	1748
210	467	1748
211	468	1742
212	470	1737
213	471	1732
214	473	1727
215	474	1722
216	475	1717
217	477	1711
218	478	1706
219	479	1701
220	482	1699
221	483	1696
222	485	1692
223	487	1688
224	488	1683
225	490	1678
226	491	1673
227	492	1668
228	494	1664
229	496	1660
230	498	1657
231	499	1654
232	501	1650
233	502	1645
234	504	1641
235	505	1636
236	506	1631
237	508	1627
238	510	1624
239	511	1621
240	513	1617
241	514	1612
242	516	1608
243	517	1603
244	518	1599
245	520	1595
246	521	1590
247	523	1586
248	524	1583
249	526	1579
250	528	1576
251	529	1571
252	530	1567
253	532	1563
254	533	1559
255	535	1555
256	536	1551
257	537	1546
258	539	1543
259	542	1544
260	544	1540
261	545	1536
262	546	1532
263	548	1528
264	549	1525
265	551	1521
266	552	1517
267	555	1516
268	556	1512
269	557	1508
270	559	1504
271	560	1500
272	561	1496
273	563	1493
274	564	1489
275	566	1485
276	567	1482
277	570	1480
278	571	1476
279	572	1473
280	574	1469
281	575	1465
282	576	1461
283	578	1458
284	579	1454
285	580	1450
286	582	1447
287	584	1444
288	585	1441
289	587	1437
290	588	1434
291	590	1431
292	591	1427
293	592	1423
294	594	1420
295	595	1416
296	597	1413
297	598	1411
298	600	1407
299	601	1404
300	603	1400
301	604	1397
302	605	1393
303	607	1390
304	608	1386
305	610	1383
306	611	1380
307	613	1377
308	614	1374
309	616	1371
310	617	1367
311	618	1364
312	620	1361
313	621	1358
314	623	1355
315	624	1351
316	625	1348
317	627	1345
318	628	1342
319	630	1339
320	631	1336
321	633	1332
322	634	1329
323	635	1326
324	636	1322
325	638	1319
326	639	1316
327	641	1313
328	642	1310
329	643	1307
330	645	1304
331	646	1300
332	647	1297
333	649	1294
334	650	1291
335	652	1288
336	653	1285
337	654	1282
338	656	1279
339	657	1276
340	659	1273
341	660	1270
342	661	1267
343	663	1264
344	664	1261
345	665	1258
346	667	1255
347	668	1252
348	669	1249
349	671	1247
350	673	1245
351	675	1243
352	677	1241
353	678	1238
354	680	1235
355	681	1232
356	682	1229
357	684	1227
358	685	1224
359	687	1221
360	688	1218
361	689	1215
362	691	1212
363	692	1210
364	693	1207
365	695	1204
366	696	1201
367	698	1198
368	699	1196
369	700	1193
370	702	1190
371	703	1187
372	704	1184
373	706	1182
374	707	1179
375	708	1176
376	710	1173
377	711	1171
378	713	1168
379	714	1165
380	715	1162
381	717	1160
382	718	1157
383	719	1154
384	721	1152
385	722	1149
386	723	1146
387	725	1144
388	726	1141
389	728	1139
390	729	1136
391	730	1133
392	732	1130
393	733	1128
394	734	1125
395	736	1123
396	737	1120
397	739	1117
398	740	1115
399	741	1112
400	743	1110
401	744	1107
402	745	1104
403	747	1102
404	748	1099
405	750	1097
406	751	1094
407	752	1092
408	754	1089
409	755	1087
410	756	1084
411	758	1082
412	759	1079
413	761	1077
414	762	1074
415	763	1072
416	765	1069
417	766	1067
418	767	1064
419	769	1062
420	770	1059
421	771	1057
422	773	1054
423	774	1052
424	776	1050
425	777	1047
426	778	1045
427	780	1042
428	781	1040
429	782	1037
430	784	1035
431	785	1032
432	786	1030
433	788	1028
434	789	1025
435	791	1023
436	792	1020
437	793	1018
438	795	1015
439	796	1013
440	797	1011
441	799	1008
442	800	1006
443	801	1004
444	803	1002
445	805	1000
446	807	998
447	808	996
448	810	994
449	811	992
450	813	989
451	815	988
452	817	986
453	818	984
454	820	982
455	821	980
456	823	978
457	824	976
458	826	973
459	827	971
460	829	969
461	830	967
462	832	965
463	834	963
464	835	961
465	836	959
466	838	956
467	839	954
468	841	952
469	842	950
470	844	948
471	845	945
472	846	943
473	848	941
474	850	939
475	851	937
476	853	935
477	854	933
478	855	930
479	857	928
480	858	926
481	860	924
482	862	922
483	863	921
484	865	918
485	866	916
486	868	914
487	869	912
488	871	910
489	872	908
490	873	905
491	875	903
492	877	902
493	878	900
494	880	897
495	881	895
496	883	893
497	884	891
498	885	889
499	887	887
500	888	885
501	890	882
502	892	881
503	893	879
504	895	877
505	896	875
506	898	873
507	899	871
508	900	869
509	902	866
510	903	864
511	905	862
512	907	861
513	908	859
514	909	856
515	911	854
516	912	852
517	913	850
518	915	848
519	916	846
520	918	844
521	919	841
522	921	840
523	922	837
524	923	835
525	925	833
526	926	831
527	927	829
528	929	827
529	930	825
530	931	823
531	933	820
532	934	818
533	936	816
534	937	814
535	938	812
536	940	810
537	941	808
538	942	806
539	944	804
540	945	802
541	946	799
542	948	797
543	949	795
544	950	793
545	952	791
546	953	789
547	954	787
548	956	785
549	957	783
550	958	781
551	960	779
552	961	777
553	963	775
554	964	773
555	965	771
556	967	769
557	968	767
558	970	765
559	971	763
560	972	761
561	973	759
562	975	757
563	977	755
564	978	753
565	979	751
566	981	749
567	982	747
568	983	745
569	985	743
570	986	741
571	987	739
572	989	737
573	990	735
574	991	733
575	993	731
576	994	729
577	995	727
578	997	725
579	998	723
580	1000	721
581	1001	719
582	1002	717
583	1004	715
584	1005	713
585	1006	711
586	1008	709
587	1009	707
588	1010	705
589	1012	703
590	1013	701
591	1014	699
592	1016	697
593	1017	695
594	1018	693
595	1020	691
596	1021	689
597	1022	687
598	1024	685
599	1025	683
600	1026	681
601	1028	679
602	1029	677
603	1030	675
604	1032	673
605	1034	672
606	1036	670
607	1037	669
608	1039	667
609	1041	665
610	1042	663
611	1043	661
612	1045	659
613	1046	658
614	1048	656
615	1049	654
616	1050	652
617	1052	650
618	1053	648
619	1054	646
620	1056	644
621	1057	642
622	1059	640
623	1060	639
624	1061	637
625	1063	635
626	1064	633
627	1065	631
628	1067	629
629	1068	627
630	1069	625
631	1071	623
632	1072	621
633	1074	620
634	1075	618
635	1077	616
636	1078	614
637	1080	612
638	1081	610
639	1082	609
640	1084	607
641	1085	605
642	1086	603
643	1089	601
644	1090	600
645	1091	598
646	1093	596
647	1094	594
648	1095	592
649	1097	590
650	1098	589
651	1100	587
652	1101	585
653	1102	583
654	1104	581
655	1105	579
656	1106	577
657	1108	576
658	1109	574
659	1110	572
660	1112	570
661	1113	568
662	1115	566
663	1116	565
664	1117	563
665	1119	561
666	1120	559
667	1122	557
668	1123	555
669	1124	553
670	1126	552
671	1127	550
672	1129	548
673	1130	546
674	1131	544
675	1133	543
676	1134	541
677	1136	539
678	1137	537
679	1138	535
680	1140	534
681	1141	532
682	1142	530
683	1144	528
684	1145	526
685	1146	524
686	1148	523
687	1149	521
688	1150	519
689	1152	517
690	1153	515
691	1155	514
692	1156	512
693	1157	510
694	1159	508
695	1160	506
696	1161	505
697	1163	503
698	1164	501
699	1165	499
700	1167	498
701	1169	496
702	1170	494
703	1172	492
704	1173	491
705	1174	489
706	1175	487
707	1177	485
708	1178	483
709	1179	481
710	1181	480
711	1182	478
712	1184	476
713	1185	474
714	1186	473
715	1188	471
716	1189	469
717	1190	467
718	1192	465
719	1193	464
720	1195	462
721	1196	460
722	1197	458
723	1199	457
724	1200	455
725	1202	453
726	1203	451
727	1204	450
728	1206	448
729	1207	446
730	1209	444
731	1210	443
732	1212	441
733	1213	439
734	1214	438
735	1216	436
736	1217	434
737	1218	432
738	1220	431
739	1221	429
740	1223	427
741	1225	426
742	1226	424
743	1228	422
744	1229	420
745	1231	419
746	1232	417
747	1233	415
748	1235	413
749	1236	412
750	1237	410
751	1239	408
752	1240	406
753	1241	405
754	1243	403
755	1244	401
756	1245	399
757	1247	398
758	1248	396
759	1249	394
760	1251	392
761	1252	391
762	1253	389
763	1255	387
764	1256	386
765	1257	384
766	1259	382
767	1260	380
768	1261	379
769	1263	377
770	1264	375
771	1265	373
772	1267	372
773	1268	370
774	1270	368
775	1271	367
776	1272	365
777	1274	363
778	1275	361
779	1277	360
780	1278	358
781	1280	356
782	1281	355
783	1283	353
784	1284	351
785	1285	350
786	1287	348
787	1288	346
788	1289	344
789	1291	343
790	1292	341
791	1294	339
792	1295	338
793	1296	336
794	1298	334
795	1299	332
796	1300	331
797	1302	329
798	1303	327
799	1304	326
800	1306	324
801	1307	322
802	1308	321
803	1310	319
804	1311	317
805	1312	316
806	1314	314
807	1315	312
808	1316	310
809	1318	309
810	1319	307
811	1320	305
812	1322	304
813	1323	302
814	1324	300
815	1326	299
816	1327	297
817	1328	295
818	1329	293
819	1331	292
820	1332	290
821	1333	288
822	1335	287
823	1336	285
824	1337	283
825	1339	282
826	1340	280
827	1341	278
828	1343	277
829	1344	275
830	1345	273
831	1347	272
832	1348	270
833	1349	268
834	1351	266
835	1352	265
836	1353	263
837	1355	261
838	1356	260
839	1357	258
840	1359	256
841	1360	255
842	1361	253
843	1363	251
844	1364	250
845	1365	248
846	1367	246
847	1368	245
848	1369	243
849	1371	241
850	1372	240
851	1373	238
852	1375	236
853	1376	235
854	1377	233
855	1379	232
856	1380	230
857	1381	228
858	1383	227
859	1384	225
860	1385	223
861	1387	222
862	1388	220
863	1389	218
864	1391	217
865	1392	215
866	1393	213
867	1395	212
868	1397	210
869	1399	209
870	1401	207
871	1403	205
872	1404	204
873	1405	202
874	1407	201
875	1408	199
876	1410	197
877	1411	196
878	1413	194
879	1414	192
880	1415	191
881	1416	189
882	1418	187
883	1419	186
884	1420	184
885	1422	183
886	1423	181
887	1425	179
888	1426	178
889	1428	176
890	1429	174
891	1430	173
892	1432	171
893	1433	169
894	1434	168
895	1436	166
896	1437	165
897	1439	163
898	1440	161
899	1441	160
900	1443	158
901	1444	156
902	1445	155
903	1447	153
904	1448	152
905	1449	150
906	1451	148
907	1452	147
908	1453	145
909	1455	143
910	1456	142
911	1457	140
912	1459	139
913	1460	137
914	1461	135
915	1463	134
916	1464	132
917	1466	130
918	1467	129
919	1468	127
920	1470	126
921	1471	124
922	1472	122
923	1474	121
924	1475	119
925	1477	118
926	1478	116
927	1480	114
928	1481	113
929	1482	111
930	1484	110
931	1485	108
932	1487	106
933	1488	105
934	1489	103
935	1490	101
936	1492	100
937	1493	98
938	1494	97
939	1496	95
940	1497	93
941	1498	92
942	1500	90
943	1501	89
944	1502	87
945	1504	85
946	1505	84
947	1507	82
948	1508	81
949	1509	79
950	1511	77
951	1512	76
952	1513	74
953	1515	73
954	1516	71
955	1517	69
956	1519	68
957	1520	66
958	1522	65
959	1523	63
960	1525	61
961	1526	60
962	1527	58
963	1529	57
964	1530	55
965	1531	53
966	1533	52
967	1534	50
968	1535	49
969	1536	47
970	1538	45
971	1539	44
972	1540	42
973	1542	41
974	1543	39
975	1545	37
976	1546	36
977	1547	34
978	1549	33
979	1550	31
980	1552	30
981	1553	28
982	1554	26
983	1556	25
984	1557	23
985	1558	22
986	1560	20
987	1561	18
988	1563	17
989	1564	15
990	1565	14
991	1567	12
992	1569	11
993	1570	9
994	1571	7
995	1573	6
996	1574	4
997	1576	3
998	1578	1
999	1580	0
